Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2024-12-01 08:50:16,-42.7,-172.4,35.9,22.1,17.0,13.9,-2.4,130000000000.0,0.38
2024-11-29 22:18:15,-74.6,4.4,68.5,20.3,13.6,12.620000000000001,0.2200000000000002,27000000000.0,0.095
2024-11-29 17:57:18,-79.4,74.6,62.0,18.5,10.2,11.34,2.8400000000000003,58000000000.0,0.19
2024-11-10 16:31:52,-59.8,-73.6,43.0,16.7,6.800000000000001,10.06,5.460000000000001,57000000000.0,0.18
2024-10-22 10:54:48,30.0,-136.0,38.2,14.9,3.4000000000000004,8.780000000000001,8.08,45000000000.0,0.15
2024-10-05 12:27:48,-55.9,-102.4,39.5,13.1,0.0,7.5,10.7,27000000000.0,0.095
2024-09-28 00:10:19,-59.8,-51.8,34.2,15.0,8.5,4.1,11.6,108000000000.0,0.32
2024-09-23 06:37:47,-45.6,-31.9,69.0,18.8,14.95,-1.3000000000000007,4.55,55000000000.0,0.18
2024-09-06 12:36:22,-12.9,117.7,27.0,22.6,21.4,-6.7,-2.5,21000000000.0,0.076
2024-09-04 16:39:32,18.0,122.9,25.0,19.7,3.9,-19.1,2.6,62000000000.0,0.2
2024-08-25 06:50:49,-33.6,24.5,38.2,20.1,-5.5,17.9,7.4,26000000000.0,0.092
2024-08-20 12:53:51,-20.15,-49.95,38.6,17.35,-3.75,16.1,2.5999999999999996,60000000000.0,0.19
2024-07-30 19:27:16,-6.7,-124.4,39.0,14.6,-2.0,14.3,-2.2,27000000000.0,0.095
2024-07-20 14:08:10,-73.7,22.5,38.8,30.8,28.1,-6.5,10.9,2433000000000.0,5.1
2024-07-13 03:10:41,-7.4,-41.0,32.0,26.6,9.850000000000001,-4.15,-4.9,590000000000.0,1.5
2024-07-12 00:09:35,2.6,46.6,41.5,22.4,-8.4,-1.8,-20.7,85000000000.0,0.26
2024-06-28 16:05:19,55.1,140.6,29.2,15.3,0.6,-15.1,-2.2,38000000000.0,0.13
2024-06-18 21:01:32,32.2,-31.8,28.7,16.2,1.8,14.7,-6.6,22000000000.0,0.079
2024-06-18 13:51:19,44.3,173.2,44.3,35.4,-0.7,15.0,-32.1,491000000000.0,1.2
2024-06-03 01:13:51,-63.1,-53.2,60.0,24.0,-6.300000000000001,8.55,-17.9,26000000000.0,0.092
2024-06-01 23:24:59,-1.0,-15.9,26.5,12.6,-11.9,2.1,-3.7,79000000000.0,0.25
2024-05-27 03:19:36,1.7,-39.4,56.0,39.2,-33.2,18.4,9.7,84000000000.0,0.26
2024-05-24 16:19:59,6.6,114.2,42.0,36.5,26.5,-23.8,8.1,54000000000.0,0.18
2024-05-18 22:46:50,41.0,-8.8,74.3,40.4,-26.5,-24.1,18.7,37000000000.0,0.13
2024-05-15 12:48:28,49.8,-54.1,64.2,27.15,-9.05,-6.550000000000001,9.0,28000000000.0,0.098
2024-05-05 20:11:03,-7.1,-112.7,39.0,13.9,8.4,11.0,-0.7,37000000000.0,0.13
2024-04-09 04:47:44,36.5,-37.8,36.3,19.75,4.7,-7.050000000000001,2.1000000000000005,33000000000.0,0.11
2024-03-17 06:17:58,27.6,117.2,42.1,25.6,1.0,-25.1,4.9,37000000000.0,0.13
2024-02-26 11:21:01,22.9,57.1,33.1,31.3,-29.3,5.1,9.7,37000000000.0,0.13
